
# 보기 2

 일자별 매출 A         ||    일자별 매출 B

 A.일자   A.매출액     ||    B.일자     B.매출액

  11.01    1000         ||    11.01    1000 
  11.02    1000         ||    11.02    1000 
  11.03    1000         ||    11.03    1000 
  11.04    1000         ||    11.04    1000         
  11.05    1000         ||    11.05    1000 
  11.06    1000         ||    11.06    1000 
  11.07    1000         ||    11.07    1000 
  11.08    1000         ||    11.08    1000 
  11.09    1000         ||    11.09    1000 
  11.10    1000         ||    11.10    1000 




  11.01    1000         ||    11.01    1000 
  11.02    1000         ||    11.01    1000 
  11.02    1000         ||    11.02    1000 
  11.03    1000         ||    11.01    1000 
  11.03    1000         ||    11.02    1000 
  11.03    1000         ||    11.03    1000 
  11.04    1000         ||    11.01    1000 
  11.04    1000         ||    11.02    1000 
  11.04    1000         ||    11.03    1000 
  11.04    1000         ||    11.04    1000 




